detector,controller,track,noise,laps_target,laps_done,completed_lap,lap_time_s,duration_s,n_frames,mean_abs_off_px,rms_off_px,max_abs_off_px,mean_iou,mean_conf,off_track_rate,mean_detect_ms,fps_equiv,sigma
centroid,pid,oval,0.0,1,0,False,,2.633333333333329,159,80.00337682843406,99.51139949054978,194.29890210870497,0.009835428870934393,0.012940169680293502,0.5786163522012578,1.1498972836884804,869.6428926176251,0.0
centroid,pid,oval,0.02,1,0,False,,3.26666666666666,197,45.940160935954204,52.314369439294346,76.31706638178512,0.03452596729987922,0.03546822123519459,0.467005076142132,1.564971198650493,638.9893953718258,0.02
centroid,pid,oval,0.05,1,0,False,,8.299999999999992,499,39.180746236302014,46.83598423656834,124.3904401436559,0.061533296207494335,0.07452120386606553,0.18236472945891782,1.6085401846152845,621.6817021821377,0.05
centroid,pid,oval,0.1,1,0,False,,8.283333333333324,498,40.05994709342958,47.29986003855805,123.25032477636698,0.01890618380232249,0.02903891608099064,0.1827309236947791,1.563317510140424,639.665322951686,0.1
centroid,pid,oval,0.2,1,0,False,,3.9333333333333242,237,46.54827784889712,57.444058455218276,114.34531102631693,0.002321617234828555,0.008452938203234884,0.3881856540084388,1.529134826426186,653.9645704997432,0.2
hough,pid,oval,0.0,1,1,True,27.76666666666637,27.783333333333037,1667,27.228869235575687,27.444554633661586,28.703028050060638,0.16853630453071355,0.99250149970006,0.0,0.7870828732464074,1270.5142418807732,0.0
hough,pid,oval,0.02,1,1,True,27.76666666666637,27.783333333333037,1667,27.214619485811877,27.43073256877666,28.692949511928184,0.16890789070212114,0.9934013197360528,0.0,0.865965853938967,1154.7799436332969,0.02
hough,pid,oval,0.05,1,1,True,27.76666666666637,27.783333333333037,1667,27.216996113386436,27.43336605436393,28.69003806234037,0.16762403575607226,0.99250149970006,0.0,0.8642212195322196,1157.111139369239,0.05
hough,pid,oval,0.1,1,1,True,27.76666666666637,27.783333333333037,1667,27.221815341983238,27.43778883883281,28.751508113651845,0.1671968549509789,0.99250149970006,0.0,0.9635921975725678,1037.783413480463,0.1
hough,pid,oval,0.2,1,0,False,,12.83333333333355,771,39.14782821777082,46.12170434999336,145.34631819926608,0.11226574258257976,1.0,0.11802853437094682,2.3114878831726613,432.6217789329,0.2
polyfit,pid,oval,0.0,1,1,True,26.899999999999753,26.91666666666642,1615,16.89445866784656,17.610152082307227,27.223891011361843,0.25430629372685043,1.0,0.0,1.9528199129070418,512.0799892455839,0.0
polyfit,pid,oval,0.02,1,1,True,26.899999999999753,26.91666666666642,1615,16.895424996858516,17.611006401483635,27.221664150132185,0.2542940192929096,1.0,0.0,2.034406397212729,491.543873126857,0.02
polyfit,pid,oval,0.05,1,1,True,26.899999999999753,26.91666666666642,1615,16.896512265104203,17.612155318496534,27.221971381939134,0.25404812619102685,1.0,0.0,2.0222157860915795,494.5070683741133,0.05
polyfit,pid,oval,0.1,1,1,True,26.899999999999753,26.91666666666642,1615,16.913539062603398,17.634869175596357,27.227999293510592,0.25255406600119273,1.0,0.0,2.082491125828578,480.19412308521686,0.1
polyfit,pid,oval,0.2,1,1,True,27.049999999999745,27.06666666666641,1624,18.580840256977933,19.046657797955287,26.532556233422593,0.21930046305215015,1.0,0.0,2.356636733418271,424.33353678125565,0.2
