t,x,y,heading,speed,true_offset,true_heading_err,det_offset,det_lookahead,det_confidence,steering,lane_iou,off_track,detect_ms
0.0,798.0058836419975,720.153296936521,2.9977409642536847,120.0,0.011426552689096599,0.07961798999557912,-67.51441683739918,-41.84833306484177,1.0,-0.6981317007977318,0.2988798095135018,0,2.043957996647805
0.016666666666666666,796.0265412907094,720.4400090855438,2.9306129937595022,120.0,0.17811977505371468,0.15828076532395752,-103.83247559519843,-58.28039650283522,1.0,-0.6981317007977318,0.2918047503987317,0,1.9892079872079194
0.03333333333333333,794.0708888394248,720.8588449600635,2.94121868671732,120.0,0.4965526897567906,0.15830245465933634,-119.30742286473887,-54.68635965661513,1.0,0.13180259933364927,0.3166932640209466,0,2.0520830003079027
0.05,792.110904412299,721.2569166187183,2.9963370293586173,120.0,0.8118369193440974,0.10318411201803901,-125.36937926348881,-46.3945766974204,1.0,0.6032911524483793,0.34192598553361925,0,1.9714160007424653
0.06666666666666667,790.1319665367439,721.546407352065,2.9972990905908894,120.0,1.0360067930913266,0.11205209059275935,-129.76861832514766,-44.48578468249471,1.0,0.01202518573550998,0.3589118735749956,0,1.904957985971123
0.08333333333333333,788.1527510692348,721.8339940923235,2.984790820882977,120.0,1.2718828808314928,0.133686657835558,-132.37278589032275,-44.36429850120787,1.0,-0.15509764811268212,0.35512426696453503,0,1.898082991829142
0.09999999999999999,786.1772875492882,722.1463142507504,2.9848681297266313,120.0,1.5448778178677327,0.14211196931162104,-132.5151908237996,-42.64664611875587,1.0,0.0009663602448639619,0.34295338334639647,0,1.9214170170016587
0.11666666666666665,784.2017998901346,722.4584816874437,2.992170794695136,120.0,1.8288908399757318,0.14275712316625103,-131.3938631031872,-40.07114585832435,1.0,0.0910310284712875,0.3646712536096641,0,1.9286250171717256
0.13333333333333333,782.2240852721118,722.7562146040975,2.9963450786569963,120.0,2.113436296503631,0.13858283920439085,-129.9712364913389,-37.993512786406164,1.0,0.05213127293752767,0.353046712204603,0,1.9121250079479069
0.15,780.2451450664236,723.0456894083734,2.9984217565775833,120.0,2.3997189998290547,0.14395874719112658,-128.4105590462715,-36.26413244452262,1.0,0.025952645723658296,0.3704737183646982,0,1.923541014548391
0.16666666666666666,778.2656079824113,723.3310539699788,3.000504082341724,120.0,2.690433933023473,0.14888555647514526,-126.58989265334074,-34.60039527264445,1.0,0.026023196098834883,0.35728853335320027,0,1.9161660165991634
0.18333333333333332,776.2854809685643,723.6122958748105,3.0033440023751123,120.0,2.9871061537763532,0.1460456364417573,-124.69237635568074,-32.90347246722539,1.0,0.03548409998341914,0.3710996131077239,0,1.929541991557926
0.19999999999999998,774.3045632362723,723.887913250698,3.0063915785175275,120.0,3.2890696756490962,0.1496089765988551,-122.6984683853315,-31.245095832697324,1.0,0.03807629005193883,0.3565884941253569,0,1.8734589975792915
0.21666666666666665,772.3228147394392,724.157492358382,3.00960777260764,120.0,3.5916519018931017,0.1526451741426789,-120.68075183252307,-29.628791699223882,1.0,0.04018078824871833,0.3769280802824754,0,1.8846659804694355
0.2333333333333333,770.3402094748675,724.4206963950014,3.0120906068014377,120.0,3.89575805850702,0.15016233994888165,-118.56476176458531,-28.168433444138614,1.0,0.031025468759128497,0.36140488680674393,0,1.9372499955352396
0.24999999999999997,768.356956829833,724.6789771452789,3.01538036927641,120.0,4.205017920639594,0.15280143354266265,-116.5480572169597,-26.660811891914825,1.0,0.04109887501508232,0.3778049623203563,0,1.9490419945213944
0.26666666666666666,766.372865235914,724.9307320795695,3.0188268681741603,120.0,4.513044434340563,0.15499122899160356,-114.49415120737316,-25.191009278583877,1.0,0.0430546130400036,0.3665178613034604,0,1.9707499886862934
0.2833333333333333,764.3879177544693,725.1756473626906,3.0219659296282324,120.0,4.821787301196135,0.1518521675375315,-112.4985494164252,-23.816984100769012,1.0,0.03921814913380109,0.38334749680154645,0,1.89295900054276
0.3,762.4022112496997,725.4143305772565,3.0250056363767226,120.0,5.132399735792302,0.15418372619842316,-110.50270795577461,-22.508428668938212,1.0,0.03797806480521544,0.3695299686020901,0,1.9243750139139593
0.31666666666666665,760.4157883928447,725.6469767329608,3.0283010286297323,120.0,5.441258673534211,0.15601914268419595,-108.62128380068063,-21.217382763886935,1.0,0.0411691282374257,0.3848180301126882,0,1.895583001896739
0.3333333333333333,758.4286096629171,725.8730755947971,3.0316603509212796,120.0,5.752032560867712,0.15265982039264817,-106.72962752536728,-19.967725134036083,1.0,0.04196687366385386,0.3748255808508845,0,1.8753749900497496
0.35,756.4406826081629,726.0924976196176,3.0347924039116387,120.0,6.06150906606236,0.15444013541461768,-104.82097513997229,-18.79514012732198,1.0,0.03913067771157534,0.3913662061477405,0,1.8929170037154108
0.36666666666666664,754.452078063655,726.3056922855039,3.0383551059009957,120.0,6.369162910980205,0.15087743342526164,-103.01082282197959,-17.612464492415512,1.0,0.04450436920863679,0.37407721280602635,0,1.86958399717696
0.3833333333333333,752.4627265922053,726.5118008079892,3.041827978702548,120.0,6.678214697253639,0.152118289172295,-101.22996005687187,-16.486700262217045,1.0,0.04338367142206345,0.3966522263910851,0,1.87312500202097
0.39999999999999997,750.4726713301309,726.7109993368238,3.044945899624344,120.0,6.983404617007127,0.1535333340512353,-99.55025518448399,-15.449598123945327,1.0,0.038954295989897934,0.37975942502204957,0,1.9095419847872108
0.41666666666666663,748.4820046568866,726.903992072528,3.0480560110298103,120.0,7.2892663188017845,0.15042322264576868,-97.79087210445941,-14.453322468434585,1.0,0.03885682472152652,0.3964693178083478,0,1.8652500002644956
0.4333333333333333,746.4907473833471,727.0907926896997,3.051803548463373,120.0,7.593688138273403,0.15104408796320382,-96.08060345354515,-13.41373677285507,1.0,0.046809998279408536,0.3830717005195146,0,1.958832988748327
0.44999999999999996,744.4988040517694,727.27012970145,3.055586700322945,120.0,7.89462896790176,0.14726093610363147,-94.4526155177847,-12.409526250873295,1.0,0.047254194576114385,0.4012961397576782,0,1.8935419793706387
0.4666666666666666,742.5061965172272,727.4419296237014,3.058921303327155,120.0,8.195022709432477,0.14814490761361324,-92.83492592551937,-11.501282594165827,1.0,0.04165842246822007,0.38822747608618335,0,1.9604999979492277
