detector,controller,track,noise,laps_target,laps_done,completed_lap,lap_time_s,duration_s,n_frames,mean_abs_off_px,rms_off_px,max_abs_off_px,mean_iou,mean_conf,off_track_rate,mean_detect_ms,fps_equiv
centroid,pid,oval,0.0,1.0,0.0,False,,2.633333333333329,159.0,80.00337682843406,99.51139949054978,194.29890210870497,0.009835428870934393,0.012940169680293502,0.5786163522012578,1.1466069768604665,872.1384224768175
centroid,stanley,oval,0.0,1.0,1.0,True,25.93333333333314,25.949999999999807,1557.0,0.3816708623096298,0.4499298961142471,1.2134380596665753,0.5151743684977521,0.5912192417308925,0.0,2.0412708193268005,489.89090057623724
hough,pid,oval,0.0,1.0,1.0,True,27.76666666666637,27.783333333333037,1667.0,27.228869235575687,27.444554633661586,28.703028050060638,0.16853630453071355,0.99250149970006,0.0,0.7514175819959347,1330.8179419275423
hough,stanley,oval,0.0,1.0,1.0,True,25.93333333333314,25.949999999999807,1557.0,0.3816708623096298,0.4499298961142471,1.2134380596665753,0.22606223726478078,0.9842646114322415,0.0,0.6740184111603492,1483.6389977515016
polyfit,pid,oval,0.0,1.0,1.0,True,26.899999999999753,26.91666666666642,1615.0,16.89445866784656,17.610152082307227,27.223891011361843,0.25430629372685043,1.0,0.0,1.9229410361100692,520.0367464323851
polyfit,stanley,oval,0.0,1.0,1.0,True,25.93333333333314,25.949999999999807,1557.0,0.3816708623096298,0.4499298961142471,1.2134380596665753,0.29220003152011825,1.0,0.0,1.930427193701777,518.0200544535458
centroid,pid,stadium,0.0,1.0,0.0,False,,10.600000000000106,637.0,32.836722328839876,39.48036061664449,113.36912255795244,0.38938999169497035,0.3714883405285191,0.14285714285714285,1.7900965906174493,558.6290735602568
centroid,stanley,stadium,0.0,1.0,1.0,True,26.849999999999756,26.866666666666422,1612.0,0.38392241307502156,0.5592858041016916,5.438283952443468,0.5739138598439388,0.7076582935923283,0.0,2.201960327673678,454.14078874730575
hough,pid,stadium,0.0,1.0,1.0,True,28.683333333332985,28.69999999999965,1722.0,25.96254959624893,26.177212930640835,30.149132635344955,0.23897080481448982,0.9936120789779327,0.0,0.7743271152481045,1291.4438617839012
hough,stanley,stadium,0.0,1.0,1.0,True,26.849999999999756,26.866666666666422,1612.0,0.38392241307502156,0.5592858041016916,5.438283952443468,0.2788733734732319,0.9975186104218362,0.0,0.6884105647670015,1452.6215185823864
polyfit,pid,stadium,0.0,1.0,1.0,True,27.716666666666374,27.73333333333304,1664.0,16.297398737537062,17.04286843895698,23.610860514999178,0.31212370286528224,1.0,0.0,1.9359389295914298,516.5452198489779
polyfit,stanley,stadium,0.0,1.0,1.0,True,26.849999999999756,26.866666666666422,1612.0,0.38392241307502156,0.5592858041016916,5.438283952443468,0.3328742911575512,1.0,0.0,1.9470913346405325,513.5865905256148
centroid,pid,snake,0.0,1.0,0.0,False,,12.183333333333518,732.0,28.212950056457874,33.86904574756571,97.82089752252135,0.40690800940681554,0.39199626095742257,0.12431693989071038,1.8441912042924273,542.2431240711163
centroid,stanley,snake,0.0,1.0,1.0,True,29.183333333332957,29.199999999999623,1752.0,0.4801121548607267,0.6198302378900692,3.5340946505966335,0.6230726712430676,0.8067389204004932,0.0,2.3455214505955646,426.3444274816094
hough,pid,snake,0.0,1.0,1.0,True,31.049999999999518,31.066666666666183,1864.0,24.71767040039468,24.92069760097621,28.355470508486107,0.2326353210177964,0.9922210300429185,0.0,0.7632088848957272,1310.2572831507644
hough,stanley,snake,0.0,1.0,1.0,True,29.183333333332957,29.199999999999623,1752.0,0.4801121548607267,0.6198302378900692,3.5340946505966335,0.3003685206173131,0.9885844748858448,0.0,0.7155720804097422,1397.4832548349177
polyfit,pid,snake,0.0,1.0,1.0,True,30.049999999999574,30.06666666666624,1804.0,14.843335534908963,15.679878275201304,23.71677036648208,0.35077887507954914,1.0,0.0,1.9579284547008842,510.74389240273416
